epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,279.203,0.56056,0.39072,0.85849,0.91833,0.91071,0.94095,0.76811,0.69422,0.56707,0.95544,0.000976293,0.000976293,0.000976293
98,282.081,0.50906,0.35468,0.84655,0.92412,0.94447,0.98522,0.81367,0.67909,0.49597,0.95654,0.000971577,0.000971577,0.000971577
99,285.047,0.5335,0.38999,0.84903,0.95945,0.94876,0.99409,0.81408,0.67265,0.43008,0.96016,0.000966861,0.000966861,0.000966861
100,287.977,0.52976,0.37525,0.84323,0.9287,0.96257,0.98641,0.8183,0.69313,0.46251,0.97127,0.000962146,0.000962146,0.000962146
101,290.98,0.52606,0.37981,0.84092,0.97401,1,0.995,0.84541,0.6099,0.36948,0.91601,0.00095743,0.00095743,0.00095743
102,293.94,0.51667,0.36665,0.82739,0.96386,1,0.995,0.84421,0.63263,0.39204,0.91191,0.000952714,0.000952714,0.000952714
103,296.844,0.52027,0.37069,0.84004,0.96592,1,0.995,0.84141,0.64361,0.42456,0.90853,0.000947999,0.000947999,0.000947999
104,299.823,0.5239,0.37309,0.84773,0.96785,1,0.995,0.7965,0.67869,0.4489,0.91331,0.000943283,0.000943283,0.000943283
105,302.794,0.53766,0.35915,0.82421,0.93762,1,0.99068,0.79315,0.6777,0.50946,0.93636,0.000938567,0.000938567,0.000938567
106,305.759,0.50901,0.34968,0.81973,0.92871,0.97619,0.98969,0.78523,0.66492,0.5051,0.9413,0.000933851,0.000933851,0.000933851
107,308.806,0.51896,0.35829,0.84207,0.93805,0.77785,0.92377,0.75879,0.688,0.70962,0.97053,0.000929136,0.000929136,0.000929136
108,311.899,0.513,0.35154,0.84171,0.94438,0.97619,0.98794,0.80577,0.62409,0.47479,0.90928,0.00092442,0.00092442,0.00092442
109,314.878,0.50543,0.35643,0.83975,0.99504,1,0.995,0.83838,0.58566,0.34613,0.88412,0.000919704,0.000919704,0.000919704
110,317.839,0.50892,0.35598,0.84105,0.9342,1,0.995,0.8539,0.6065,0.41017,0.89877,0.000914989,0.000914989,0.000914989
111,320.907,0.50812,0.34723,0.83292,0.94903,1,0.995,0.86166,0.59842,0.42153,0.90848,0.000910273,0.000910273,0.000910273
112,323.958,0.50916,0.36055,0.84748,0.99046,1,0.995,0.8161,0.66975,0.38094,0.9755,0.000905557,0.000905557,0.000905557
113,327.007,0.53273,0.35597,0.85224,0.99174,0.9658,0.995,0.82406,0.65669,0.41518,0.94186,0.000900842,0.000900842,0.000900842
114,330.026,0.50561,0.37885,0.84338,0.99313,0.96384,0.995,0.844,0.63982,0.41838,0.93359,0.000896126,0.000896126,0.000896126
115,332.983,0.50929,0.35654,0.84094,0.99113,0.961,0.995,0.85981,0.62822,0.39263,0.92071,0.00089141,0.00089141,0.00089141
