epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,772.853,0.44265,0.32615,0.84247,0.90303,0.94573,0.94908,0.85818,0.50757,0.42825,0.87637,0.0005644,0.0005644,0.0005644
134,778.962,0.43304,0.32237,0.82363,0.90824,0.92278,0.94566,0.84952,0.50868,0.42095,0.88323,0.0005611,0.0005611,0.0005611
135,784.774,0.43596,0.31264,0.84345,0.90989,0.92857,0.93048,0.84195,0.51925,0.49317,0.88492,0.0005578,0.0005578,0.0005578
136,790.502,0.45153,0.33025,0.84413,0.92581,0.90977,0.93731,0.8298,0.53397,0.47131,0.88382,0.0005545,0.0005545,0.0005545
137,796.242,0.43985,0.31986,0.83278,0.81811,0.94264,0.94466,0.83056,0.56948,0.51765,0.90292,0.0005512,0.0005512,0.0005512
138,802.012,0.43028,0.31892,0.82662,0.92845,0.89261,0.95203,0.84124,0.54567,0.48163,0.89019,0.0005479,0.0005479,0.0005479
139,807.83,0.4405,0.32176,0.83608,0.85106,0.94252,0.95618,0.85747,0.54522,0.51849,0.88214,0.0005446,0.0005446,0.0005446
140,813.711,0.44438,0.32703,0.85279,0.94297,0.9338,0.96785,0.88258,0.49608,0.39523,0.84143,0.0005413,0.0005413,0.0005413
141,819.649,0.43667,0.31402,0.83753,0.8949,0.91218,0.94901,0.85138,0.52885,0.48822,0.8754,0.000538,0.000538,0.000538
142,825.516,0.4477,0.32191,0.84075,0.92453,0.92242,0.96052,0.86107,0.52273,0.42148,0.88732,0.0005347,0.0005347,0.0005347
143,831.601,0.43746,0.31513,0.83846,0.89188,0.93928,0.94519,0.8484,0.53312,0.44821,0.89918,0.0005314,0.0005314,0.0005314
144,838.035,0.4303,0.31577,0.83316,0.91888,0.92176,0.95304,0.85409,0.54497,0.4295,0.90178,0.0005281,0.0005281,0.0005281
145,844.937,0.44251,0.33353,0.83781,0.853,0.93624,0.95592,0.86325,0.52221,0.46936,0.88001,0.0005248,0.0005248,0.0005248
146,851.493,0.43809,0.31902,0.845,0.90556,0.89063,0.95326,0.83691,0.54325,0.55064,0.9058,0.0005215,0.0005215,0.0005215
147,857.758,0.42396,0.30145,0.82885,0.92195,0.90512,0.94862,0.84547,0.53347,0.48961,0.90078,0.0005182,0.0005182,0.0005182
148,864.162,0.43686,0.31292,0.83784,0.89973,0.89557,0.93843,0.83526,0.52524,0.46414,0.89011,0.0005149,0.0005149,0.0005149
149,870.307,0.43374,0.31395,0.82714,0.92121,0.92245,0.94215,0.84176,0.52515,0.43524,0.87743,0.0005116,0.0005116,0.0005116
150,876.141,0.419,0.31327,0.82648,0.88346,0.93733,0.95651,0.85327,0.51237,0.43492,0.86813,0.0005083,0.0005083,0.0005083
151,881.859,0.43369,0.32407,0.83546,0.92119,0.89967,0.95526,0.8485,0.529,0.48122,0.89202,0.000505,0.000505,0.000505
152,887.596,0.43332,0.3109,0.83779,0.92628,0.93677,0.94883,0.8501,0.52168,0.40407,0.87209,0.0005017,0.0005017,0.0005017
153,893.306,0.4152,0.31119,0.83343,0.9119,0.93057,0.94218,0.84937,0.5376,0.46091,0.88847,0.0004984,0.0004984,0.0004984
154,899.328,0.4168,0.32526,0.83521,0.91905,0.91691,0.93509,0.83926,0.53324,0.41113,0.87856,0.0004951,0.0004951,0.0004951
155,905.221,0.41594,0.31664,0.8334,0.8778,0.86494,0.9033,0.80245,0.52607,0.57748,0.90588,0.0004918,0.0004918,0.0004918
156,911.057,0.4042,0.30799,0.82042,0.93086,0.86721,0.92994,0.8414,0.51348,0.48131,0.87644,0.0004885,0.0004885,0.0004885
157,916.864,0.42871,0.3085,0.83009,0.92824,0.91482,0.92177,0.81409,0.52831,0.4664,0.88505,0.0004852,0.0004852,0.0004852
158,922.596,0.41982,0.32147,0.83337,0.89751,0.92883,0.94689,0.85408,0.52085,0.45244,0.88187,0.0004819,0.0004819,0.0004819
159,928.32,0.43639,0.319,0.84238,0.88731,0.89455,0.94913,0.84133,0.5218,0.47932,0.87504,0.0004786,0.0004786,0.0004786
